,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
293,Plouzane,92,FR,1549258200,93,48.38,-4.62,46.4,24.16
294,Srednekolymsk,32,RU,1549260452,57,67.46,153.71,-19.86,2.59
295,Los Llanos de Aridane,20,ES,1549258200,67,28.66,-17.92,60.8,11.41
296,Iqaluit,90,CA,1549256400,84,63.75,-68.52,-0.41,3.36
297,Hamilton,75,BM,1549256100,72,32.3,-64.78,60.8,5.82
298,Darhan,0,MN,1549260454,39,49.49,105.92,-0.37,8.08
300,San Vicente,0,SV,1549259400,88,13.64,-88.78,71.6,3.36
302,Itarema,92,BR,1549260455,96,-2.92,-39.92,74.6,2.71
303,San Cristobal,75,EC,1549256400,93,-0.39,-78.55,57.2,2.24
304,Port Hawkesbury,90,CA,1549256400,85,45.62,-61.36,10.4,1.36
305,Alofi,8,NU,1549256400,69,-19.06,-169.92,82.4,11.41
306,Patitirion,0,GR,1549259400,82,39.15,23.87,55.4,6.93
307,Misratah,8,LY,1549260456,88,32.38,15.09,52.1,14.23
308,Ust-Omchug,44,RU,1549260457,70,61.13,149.63,-12.48,2.59
309,Puro,8,PH,1549260457,80,13.13,123.76,81.08,12.21
310,Tezu,12,IN,1549260457,38,27.93,96.16,63.8,1.92
311,Naze,32,NG,1549260457,96,5.43,7.07,74.2,4.16
312,Salalah,75,OM,1549255800,64,17.01,54.1,75.2,3.36
313,Phan Thiet,0,VN,1549260458,78,10.93,108.1,82.39,17.58
314,The Valley,20,AI,1549256400,73,18.22,-63.06,77,10.29
317,Ntcheu,100,MW,1549260459,96,-14.82,34.64,72.94,3.6
318,Komsomolskiy,0,RU,1549260459,0,67.55,63.78,-35.16,3.04
319,Fortuna,0,ES,1549258200,45,38.18,-1.13,44.6,11.41
320,Celestun,8,MX,1549260460,90,20.87,-90.4,76.67,15.01
321,Praia da Vitoria,75,PT,1549256400,82,38.73,-27.07,62.6,21.83
323,Hithadhoo,0,MV,1549260461,97,-0.6,73.08,84.68,13
324,Rundu,76,NA,1549260461,88,-17.91,19.77,67.4,4.5
325,Omboue,76,GA,1549260461,100,-1.57,9.26,80,7.4
326,Inhambane,40,MZ,1549256400,78,-23.87,35.38,80.6,4.7
328,Portland,90,US,1549255980,85,45.52,-122.67,39.92,4.7
329,Constantine,75,DZ,1549258200,74,36.36,6.61,37.4,10.29
331,Phalaborwa,20,ZA,1549256400,83,-23.95,31.14,73.4,3.36
333,Tarauaca,44,BR,1549260264,97,-8.16,-70.77,72.31,4.38
334,Lavrentiya,76,RU,1549260463,91,65.58,-170.99,25.33,16.58
336,Plaster Rock,90,CA,1549259640,64,46.91,-67.4,17.96,11.41
337,Pandan,24,PH,1549260464,100,11.72,122.09,78.38,17.69
338,Diu,36,IN,1549260464,29,20.71,70.98,86.53,2.71
339,Nyimba,64,ZM,1549260465,72,-14.56,30.81,76.45,4.16
340,Birjand,90,IR,1549258200,100,32.86,59.22,39.2,6.93
341,Tomohon,40,ID,1549258200,62,1.33,124.84,89.6,10.29
342,Talnakh,0,RU,1549260465,38,69.49,88.39,-25.12,6.06
343,Ailigandi,80,PA,1549260466,80,9.23,-78.02,76.85,6.73
344,Naryan-Mar,0,RU,1549260466,38,67.67,53.09,-24.45,6.62
345,Hualmay,88,PE,1549260466,94,-11.1,-77.61,69.02,4.16
346,Hirara,75,JP,1549256400,94,24.8,125.28,75.2,6.93
347,Cidreira,100,BR,1549260467,86,-30.17,-50.22,68.8,7.63
348,Abonnema,48,NG,1549260467,94,4.71,6.79,71.41,2.93
349,Ludwigslust,24,DE,1549260467,92,53.33,11.5,27.35,8.75
350,Saint-Junien,20,FR,1549258200,100,45.89,0.9,30.2,3.36
351,Springdale,75,US,1549258320,82,36.19,-94.13,62.06,13.87
352,Coruripe,92,BR,1549260468,98,-10.12,-36.18,80.9,9.75
353,Tshikapa,20,CD,1549260469,93,-6.42,20.79,75.91,3.04
354,Stutterheim,0,ZA,1549256400,83,-32.57,27.43,69.8,12.75
355,Oktyabrskoye,0,RU,1549258200,59,56.73,85.44,-31.01,3.6
356,Hohhot,0,CN,1549256400,32,40.81,111.65,24.8,4.47
357,Korem,0,ET,1549260470,38,12.51,39.52,61.78,1.7
358,Nsunga,20,TZ,1549256400,82,-1.13,31.39,66.2,1.92
359,Iwaki,75,JP,1549257060,68,37.05,140.89,42.8,20.8
360,Forbes,64,AU,1549260471,46,-33.38,148.01,91.07,4.38
361,Inta,0,RU,1549260471,81,66.04,60.13,-18.15,1.59
362,Barranca,68,PE,1549260471,100,-10.75,-77.76,71.45,9.64
363,Buraydah,0,SA,1549256400,81,26.33,43.97,50,5.82
364,Myitkyina,0,MM,1549260472,58,25.38,97.4,74.02,2.15
365,Owensboro,1,US,1549259760,82,37.77,-87.11,57.2,8.05
366,Nemuro,75,JP,1549256400,85,43.32,145.57,33.8,4.7
367,Salinopolis,88,BR,1549260473,100,-0.61,-47.36,80.27,11.99
368,Mount Gambier,90,AU,1549256400,60,-37.83,140.78,69.8,20.8
369,Mtsamboro,0,YT,1549258200,79,-12.7,45.07,84.2,4.7
370,Wilmington,1,US,1549259700,79,39.75,-75.55,33.8,2.71
371,Nueve de Julio,20,AR,1549260474,90,-31.67,-68.39,63.35,4.05
372,Aklavik,90,CA,1549256400,64,68.22,-135.01,-2.21,3.36
373,Chaparral,0,CO,1549260474,91,3.72,-75.48,52.96,1.92
374,Lardos,40,GR,1549259400,77,36.09,28.02,59,3.36
375,Lakes Entrance,68,AU,1549260475,79,-37.88,147.99,73.03,7.52
376,Marawi,80,PH,1549260475,93,8,124.29,75.46,3.15
377,Daru,20,SL,1549260476,89,7.99,-10.85,72.53,4.38
378,Lompoc,90,US,1549258500,93,34.64,-120.46,53.06,11.21
379,Taunggyi,0,MM,1549260476,55,20.78,97.03,74.33,3.6
380,Airai,64,TL,1549260476,72,-8.93,125.41,80.14,2.15
381,Port Blair,0,IN,1549260362,97,11.67,92.75,83.65,13.44
382,Kathmandu,20,NP,1549257600,51,27.71,85.32,60.8,2.24
383,El Retorno,68,CO,1549260477,79,2.33,-72.63,76.22,2.48
384,Emerald,40,AU,1549256400,41,-23.53,148.16,91.4,18.34
385,Westport,75,IE,1549260000,93,53.8,-9.52,41,6.93
386,Teknaf,0,BD,1549260478,43,20.86,92.31,80.63,6.06
387,Dakoro,0,NE,1549260478,61,14.51,6.76,56.6,3.49
388,Sayan,76,YE,1549260479,87,15.88,43.46,72.49,3.71
389,Karratha,68,AU,1549260479,24,-20.74,116.85,107,11.77
390,Havelock,90,US,1549259880,100,34.88,-76.9,53.96,13.87
391,Bambanglipuro,64,ID,1549260479,84,-7.95,110.28,82.93,7.63
392,Margate,20,AU,1549258200,53,-43.03,147.26,71.6,17.22
393,Berlevag,0,NO,1549255800,72,70.86,29.09,12.2,17.22
394,Virginia Beach,90,US,1549259940,73,36.85,-75.98,50,3.36
395,Malanje,88,AO,1549260480,96,-9.54,16.35,69.25,3.15
396,Grand Gaube,40,MU,1549256400,79,-20.01,57.66,86,11.41
397,Tashla,75,RU,1549258200,85,53.71,49.75,19.4,8.95
398,Iskateley,0,RU,1549260481,44,67.68,53.15,-27.1,3.94
399,Mendi,0,ET,1549260482,42,9.8,35.1,72.35,3.6
400,Mehendiganj,0,BD,1549260482,52,22.82,90.53,79.55,8.19
401,Wanning,75,AT,1549259400,94,48.64,13.53,32,8.05
402,Santa Ana,0,SV,1549255800,78,13.99,-89.56,71.6,2.24
404,Formosa do Rio Preto,68,BR,1549260483,93,-11.04,-45.19,70.33,2.93
405,Eureka,90,US,1549259160,88,40.8,-124.16,44.6,6.93
406,Lobez,75,PL,1549258200,100,53.64,15.62,28.4,2.24
408,Elizabeth City,1,US,1549259760,80,36.3,-76.22,50.9,11.1
409,Vertou,90,FR,1549258200,80,47.17,-1.47,42.8,12.75
410,Basse,20,DE,1549259400,89,52.55,9.51,32,4.7
411,Caceres,64,CO,1549260485,76,5.53,-74.53,67.18,2.37
412,Lima,90,PE,1549256400,88,-12.06,-77.04,75.2,13.87
413,Grimshaw,5,CA,1549256400,65,56.19,-117.61,-38.21,3.36
414,Godda,0,IN,1549260486,50,24.83,87.21,75.55,9.98
415,Changping,0,CN,1549258200,44,40.22,116.23,37.4,4.47
416,Altamira,8,BR,1549260487,92,-3.2,-52.21,75.55,4.16
417,Bud,75,NO,1549259400,73,62.91,6.91,33.8,10.29
418,Dudinka,8,RU,1549260487,70,69.41,86.18,-9.37,17.69
419,Sao Felix do Xingu,0,BR,1549260488,98,-6.64,-51.99,73.3,2.15
421,Beloha,32,MG,1549260488,62,-25.17,45.06,80.95,11.77
422,Konevo,68,BG,1549260488,92,41.67,25.61,47.38,3.71
423,Morris,1,US,1549259700,96,41.36,-88.42,45.5,8.05
425,Saquena,48,PE,1549260489,100,-4.67,-73.52,73.75,3.6
426,Semirom,0,IR,1549260489,33,31.41,51.57,26.63,3.38
427,Arman,64,RU,1549260490,64,59.7,150.17,-0.87,6.4
428,Uvalde,1,US,1549258500,99,29.21,-99.79,56.12,4.7
429,Ereymentau,92,KZ,1549260490,78,51.62,73.1,-1.32,10.09
430,Kasongo-Lunda,92,CD,1549260491,95,-6.48,16.82,71.95,2.71
431,Lishan,0,CN,1549260491,48,24.07,102.75,63.67,8.52
432,Bahir Dar,0,ET,1549260491,36,11.59,37.39,65.29,4.16
433,Sombrio,92,BR,1549260491,100,-29.11,-49.63,70.15,7.18
434,Quibdo,92,CO,1549260492,100,5.69,-76.66,74.02,1.92
435,Buala,88,SB,1549260492,100,-8.15,159.59,79.24,3.04
436,Igarka,8,RU,1549260492,46,67.47,86.57,-28.23,4.94
437,Riyadh,0,SA,1549256400,57,24.63,46.72,50,3.36
438,Iracoubo,88,GF,1549260493,77,5.48,-53.21,78.02,6.73
439,Geraldton,90,CA,1549259160,70,49.72,-86.95,-2.21,9.17
440,Sorong,44,ID,1549260493,100,-0.86,131.25,81.4,9.53
442,Sayansk,32,RU,1549260494,55,54.11,102.18,-19.72,5.5
443,Uglekamensk,0,RU,1549260494,37,43.22,133.23,11.38,7.63
444,Tukan,92,RU,1549260494,81,53.84,57.45,14.17,2.59
445,Aloleng,0,PH,1549260495,78,16.13,119.78,85.09,5.39
446,Mirnyy,92,RU,1549260495,96,56.57,36.46,33.25,8.63
447,Otradnoye,90,RU,1549258200,86,59.77,30.8,33.8,6.71
448,Atar,48,MR,1549260495,60,20.52,-13.05,46.97,3.94
449,Ostrovnoy,48,RU,1549260496,90,68.05,39.51,-6.9,12.55
450,Mount Isa,90,AU,1549258200,94,-20.73,139.49,75.2,18.34
451,Kualakapuas,40,ID,1549256400,74,-3.01,114.39,84.2,5.82
452,Vardo,1,US,1549259700,95,39.62,-77.74,37.94,2.04
453,Tiarei,75,PF,1549258200,78,-17.53,-149.33,80.6,10.29
454,Palu,92,ID,1549260497,85,-0.9,119.87,73.57,1.7
456,Saint Anthony,90,US,1549259760,81,43.97,-111.68,35.06,5.82
457,Lumberton,90,US,1549259700,94,30.27,-94.2,62.78,3.36
458,Saint-Augustin,0,FR,1549258200,92,44.83,-0.61,28.4,4.38
459,Mlonggo,20,ID,1549256400,59,-6.53,110.7,89.6,11.41
460,Vila Velha,40,BR,1549256400,88,-3.71,-38.6,80.6,3.36
461,Kulhudhuffushi,76,MV,1549260499,100,6.62,73.07,82.03,13.44
462,Noshiro,75,JP,1549257240,69,40.21,140.05,33.8,21.92
464,Rehnan,20,IR,1549258200,55,32.68,51.6,35.6,11.41
465,Rocha,0,UY,1549260500,86,-34.48,-54.34,52.96,2.59
466,Klyuchi,0,RU,1549260500,76,52.25,79.17,-17.2,7.4
467,Porbandar,0,IN,1549258200,26,21.64,69.61,80.6,11.41
468,Kenai,90,US,1549258620,85,60.55,-151.26,24.8,3.36
469,Ambovombe,24,MG,1549260501,77,-25.18,46.09,79.51,9.75
472,Broken Hill,48,AU,1549256400,20,-31.97,141.45,95,13.87
473,Kabale,0,UG,1549260502,88,-1.26,29.99,67.18,0.92
474,Savonlinna,90,FI,1549259400,92,61.87,28.88,23,9.17
475,Marsa Matruh,20,EG,1549256400,93,31.35,27.25,50,3.36
477,Skogn,75,NO,1549259400,85,63.7,11.19,17.6,6.93
479,Okitipupa,12,NG,1549260504,95,6.5,4.78,74.87,2.04
481,Cockburn Town,0,TC,1549260504,99,21.46,-71.14,78.02,14.12
482,Valdez,90,US,1549256160,91,61.13,-146.35,23,0.47
483,Manaure,0,CO,1549260505,96,11.78,-72.45,77.12,19.82
484,Fredericton,90,CA,1549256400,79,45.97,-66.65,19.4,2.24
486,Dakar,92,SN,1549258200,82,14.69,-17.45,62.6,19.46
487,Sinop,0,TR,1549259400,86,42.03,35.15,41,2.24
488,Sankt Valentin,75,AT,1549259400,89,48.17,14.52,32,8.05
489,Jalu,64,LY,1549260506,33,29.03,21.55,54.04,13.11
491,Sterling,1,US,1549259760,73,39,-77.4,34.34,3.36
493,Lagos,20,NG,1549256400,94,6.46,3.39,78.8,2.24
494,Kollam,75,IN,1549254600,66,8.88,76.6,86,4.7
495,Tual,36,ID,1549260508,99,-5.67,132.75,83.6,17.69
496,Thessalon,90,CA,1549259760,97,46.26,-83.55,28.04,3.94
497,Ngunguru,8,NZ,1549260508,94,-35.62,174.5,71.95,16.46
498,Bilibino,0,RU,1549260508,53,68.06,166.44,-19.27,2.93
499,Semey,75,KZ,1549256400,83,50.41,80.25,-5.81,11.18
500,Hofn,88,IS,1549260509,100,64.25,-15.21,31.72,7.96
501,Shimoda,20,JP,1549256400,55,34.7,138.93,64.4,19.46
502,Dragor,68,BG,1549258200,100,42.23,24.3,39.2,2.24
503,Penzance,75,GB,1549259400,100,50.12,-5.53,50,16.11
504,Meulaboh,8,ID,1549260510,100,4.14,96.13,84.1,5.17
505,Peniche,0,PT,1549258200,100,39.36,-9.38,37.4,1.12
507,Nokaneng,8,BW,1549260511,79,-19.66,22.19,75.1,4.94
508,Omigawa,0,JP,1549258200,25,35.85,140.62,64.4,14.99
509,Laguna,0,MX,1549260511,76,27.52,-110.01,60.34,1.7
510,Nanyang,56,CN,1549260512,63,33,112.53,51.38,4.94
511,Villarrica,0,CL,1549256400,100,-39.28,-72.23,53.6,5.06
512,Kargasok,20,RU,1549260512,61,59.06,80.87,-33.36,3.49
513,Mongar,8,BT,1549260513,60,27.28,91.24,62.68,1.7
514,Waraseoni,0,IN,1549260513,46,21.76,80.05,83.42,4.61
515,Rybachiy,0,RU,1549258200,92,48.71,44.74,12.2,2.24
516,Turukhansk,0,RU,1549260513,0,65.8,87.96,-38.85,3.04
517,Samarai,44,PG,1549260514,92,-10.62,150.67,88.1,15.01
518,Chegdomyn,20,RU,1549260514,40,51.13,133.04,-14.37,6.06
519,Meiganga,12,CM,1549260514,58,6.52,14.29,62.63,2.48
520,Pimenteiras,44,BR,1549260515,93,-6.24,-41.42,71,4.38
521,Sambava,36,MG,1549260515,100,-14.27,50.17,81.8,9.53
522,Ust-Nera,0,RU,1549260515,50,64.57,143.24,-32.68,2.15
523,Hasaki,0,JP,1549258200,25,35.73,140.83,64.4,14.99
524,Dhidhdhoo,76,MV,1549260516,100,6.88,73.1,82.03,13.44
525,Santa Rosa,0,AR,1549260518,63,-36.62,-64.29,58.58,8.41
526,Tuban,36,ID,1549260518,72,-6.9,112.07,88.96,4.94
528,Veseloyarsk,36,RU,1549260519,95,51.29,81.11,-5.1,5.95
529,Nome,90,US,1549259700,94,30.04,-94.42,64.4,3.36
530,Sangar,80,RU,1549260519,42,63.92,127.47,-27.6,5.06
534,Eldorado,90,MX,1549255200,73,24.32,-107.36,69.8,2.71
535,Maniitsoq,44,GL,1549260521,72,65.42,-52.9,12.37,7.74
536,Tornio,75,FI,1549259400,86,61.12,27.27,28.4,8.05
537,Thio,90,NC,1549258200,62,-21.61,166.22,84.2,18.34
538,Mapimi,8,MX,1549260521,57,25.82,-103.85,48.01,0.92
539,Belmonte,8,PT,1549260522,74,40.36,-7.35,23.17,2.93
540,Lerwick,80,GB,1549259400,93,60.15,-1.15,41,20.8
541,Ormara,24,PK,1549260522,89,25.21,64.64,68.8,14.12
542,Honningsvag,0,NO,1549259400,61,70.98,25.97,15.8,12.75
543,Alpena,90,US,1549259760,96,45.06,-83.43,38.66,2.71
544,Mezen,48,RU,1549260523,65,65.85,44.24,-3.43,8.08
545,Aksarka,36,RU,1549260523,36,66.56,67.8,-23.46,10.09
546,Tautira,75,PF,1549258200,78,-17.73,-149.15,80.6,10.29
548,Filadelfia,68,PY,1549260524,80,-22.35,-60.04,76.72,10.76
549,Vikhorevka,20,RU,1549258200,66,56.12,101.17,-31.01,4.47
550,Severo-Yeniseyskiy,48,RU,1549260525,53,60.37,93.04,-31.83,3.38
551,Beaverlodge,40,CA,1549256400,65,55.21,-119.43,-36.41,5.82
554,Erzin,0,TR,1549259400,81,36.95,36.2,46.4,2.24
555,Dunedin,0,NZ,1549260431,62,-45.87,170.5,69.97,4.72
556,Senno,90,RU,1549258200,97,57.76,27.95,32,2.24
557,Marfino,90,RU,1549258200,100,56.07,37.56,33.8,6.71
558,Severomorsk,0,RU,1549258200,66,69.07,33.42,-29.21,2.24
559,Mushie,80,CD,1549260527,100,-3.02,16.92,71.68,2.59
560,Fairbanks,90,US,1549258380,92,64.84,-147.72,10.4,4.61
561,Baruun-Urt,0,MN,1549260528,40,46.68,113.28,3.91,4.5
562,Dongsheng,88,CN,1549260528,87,29.72,112.52,48.1,5.61
563,Galeana,56,MX,1549260528,85,24.83,-100.08,43.1,2.93
564,Sao Lourenco do Sul,88,BR,1549260528,67,-31.37,-51.98,67.9,6.4
565,Jardim,32,BR,1549260529,82,-21.48,-56.15,76,6.17
566,Karlshamn,75,SE,1549257600,92,56.17,14.86,24.8,1.12
570,Pacocha,75,EC,1549256400,88,-1.05,-80.87,78.8,4.7
571,Altamont,92,CA,1549259700,76,49.4,-98.5,-5.81,17.22
572,Ayan,32,TR,1549260530,72,40.67,33.6,22.63,1.48
573,Sola,75,NO,1549259400,93,58.89,5.65,37.4,10.29
574,Anadyr,90,RU,1549258200,84,64.73,177.51,6.8,15.66
575,Cassilandia,76,BR,1549260531,94,-19.11,-51.73,68.57,8.97
577,Kungalv,90,SE,1549259400,92,57.87,11.98,30.2,8.05
578,Xapuri,24,BR,1549260532,94,-10.65,-68.5,72.62,2.93
579,Ahipara,32,NZ,1549260532,70,-35.17,173.16,74.87,11.21
580,Kikwit,92,CD,1549260533,100,-5.04,18.82,70.06,7.07
581,Sibolga,64,ID,1549260533,97,1.74,98.78,75.64,2.59
582,Codrington,0,AU,1549256400,38,-28.95,153.24,91.4,11.41
583,Altay,68,CN,1549260533,81,47.83,88.13,3.37,2.93
584,Mukhen,32,RU,1549260534,47,48.19,136.14,-2.62,10.42
585,Keshorai Patan,0,IN,1549260534,81,25.3,75.93,68.26,4.5
586,Las Cruces,90,CL,1549256400,87,-33.5,-71.62,59,1.12
587,Kindu,8,CD,1549260535,90,-2.95,25.92,74.29,1.92
588,Vao,92,EE,1549260535,91,59.1,26.19,29.56,7.4
589,Merauke,20,ID,1549260535,72,-8.49,140.4,89.23,20.49
591,Tiznit,0,MA,1549260536,70,29.7,-9.73,50.8,7.18
592,Marzuq,0,YE,1549260498,33,14.4,46.47,67.18,3.15
593,Ulladulla,0,AU,1549256400,62,-35.36,150.48,84.2,4.7
594,Uddevalla,90,SE,1549259400,92,58.35,11.94,30.2,6.93
